atomic-number,symbol,common-name,group,period,block,atomic-weight,covalent-radius,van-der-waal-radius,outshell-electrons,most-common-isotope,most-common-isotopic-mass,density,melting-point,boiling-point,electronegativity,phase,CAS
1,H,Hydrogen,1,1,s-block,1.008,0.23,1.2,1,1,1.007825032,0.00008988,14.01,20.28,2.2,gas,1333-74-0
2,He,Helium,18,1,s-block,4.0026,0.93,1.4,2,4,4.002603254,0.0001785,0,4.22,0,gas,7440-59-7
3,Li,Lithium,1,2,s-block,6.94,0.68,1.82,1,7,7.01600455,0.534,453.69,1560,0.98,solid,7439-93-2
4,Be,Beryllium,2,2,s-block,9.0122,0.35,1.7,2,9,9.0121822,1.85,1560,2742,1.57,solid,7440-41-7
5,B,Boron,13,2,p-block,10.81,0.83,2.08,3,11,11.0093054,2.34,2349,4200,2.04,solid,7440-42-8
6,C,Carbon,14,2,p-block,12.011,0.68,1.95,4,12,12,2.267,4000,4300,2.55,solid,7440-44-0
7,N,Nitrogen,15,2,p-block,14.007,0.68,1.85,5,14,14.003074,0.0012506,63.15,77.36,3.04,gas,7727-37-9
8,O,Oxygen,16,2,p-block,15.999,0.68,1.7,6,16,15.99491462,0.001429,54.36,90.2,3.44,gas,7782-44-7
9,F,Fluorine,17,2,p-block,18.998,0.64,1.73,7,19,18.99840322,0.001696,53.53,85.03,3.98,gas,7782-41-4
10,Ne,Neon,18,2,p-block,20.18,1.12,1.54,8,20,19.99244018,0.0009002,24.56,27.07,0,gas,7440-01-09
11,Na,Sodium,1,3,s-block,22.99,0.97,2.27,1,23,22.98976928,0.968,370.87,1156,0.93,solid,7440-23-5
12,Mg,Magnesium,2,3,s-block,24.305,1.1,1.73,2,24,23.9850417,1.738,923,1363,1.31,solid,7439-95-4
13,Al,Aluminium,13,3,p-block,26.982,1.35,2.05,3,27,26.98153863,2.7,933.47,2792,1.61,solid,7429-90-5
14,Si,Silicon,14,3,p-block,28.085,1.2,2.1,4,28,27.97692653,2.329,1687,3538,1.9,solid,7440-21-3
15,P,Phosphorus,15,3,p-block,30.974,0.75,2.08,5,31,30.97376163,1.823,317.3,550,2.19,solid,7723-14-0
16,S,Sulfur,16,3,p-block,32.06,1.02,2,6,32,31.972071,2.07,388.36,717.87,2.58,solid,7704-34-9
17,Cl,Chlorine,17,3,p-block,35.45,0.99,1.97,7,35,34.96885268,0.0032,171.6,239.11,3.16,gas,7782-50-5
18,Ar,Argon,18,3,p-block,39.95,1.57,1.88,8,40,39.96238312,0.001784,83.8,87.3,0,gas,7440-37-1
19,K,Potassium,1,4,s-block,39.098,1.33,2.75,1,39,38.96370668,0.89,336.53,1032,0.82,solid,7440-09-07
20,Ca,Calcium,2,4,s-block,40.078,0.99,1.973,2,40,39.96259098,1.55,1115,1757,1,solid,7440-70-2
21,Sc,Scandium,3,4,d-block,44.956,1.44,1.7,3,45,44.9559119,2.985,1814,3109,1.36,solid,7440-20-2
22,Ti,Titanium,4,4,d-block,47.867,1.47,1.7,4,48,47.9479463,4.506,1941,3560,1.54,solid,7440-32-6
23,V,Vanadium,5,4,d-block,50.942,1.33,1.7,5,50,49.9471585,6.11,2183,3680,1.63,solid,7440-62-2
24,Cr,Chromium,6,4,d-block,51.996,1.35,1.7,6,52,51.9405075,7.15,2180,2944,1.66,solid,7440-47-3
25,Mn,Manganese,7,4,d-block,54.938,1.35,1.7,7,55,54.9380451,7.21,1519,2334,1.55,solid,7439-96-5
26,Fe,Iron,8,4,d-block,55.845,1.34,1.7,8,56,55.9349375,7.874,1811,3134,1.83,solid,7439-89-6
27,Co,Cobalt,9,4,d-block,58.933,1.33,1.7,9,59,58.933195,8.9,1768,3200,1.88,solid,7440-48-4
28,Ni,Nickel,10,4,d-block,58.693,1.5,1.63,10,58,57.9353429,8.908,1728,3186,1.91,solid,7440-02-0
29,Cu,Copper,11,4,d-block,63.546,1.52,1.4,11,63,62.9295975,8.96,1357.77,2835,1.9,solid,7440-50-8
30,Zn,Zinc,12,4,d-block,65.38,1.45,1.39,2,64,63.9291422,7.14,692.88,1180,1.65,solid,7440-66-6
31,Ga,Gallium,13,4,p-block,69.723,1.22,1.87,3,69,68.9255736,5.91,302.9146,2673,1.81,solid,7440-55-3
32,Ge,Germanium,14,4,p-block,72.63,1.17,1.7,4,74,73.9211778,5.323,1211.4,3106,2.01,solid,7440-56-4
33,As,Arsenic,15,4,p-block,74.922,1.21,1.85,5,75,74.9215965,5.727,1090,887,2.18,solid,7440-38-2
34,Se,Selenium,16,4,p-block,78.971,1.22,1.9,6,80,79.9165213,4.81,453,958,2.55,solid,7782-49-2
35,Br,Bromine,17,4,p-block,79.904,1.21,2.1,7,79,78.9183371,3.1028,265.8,332,2.96,liquid,7726-95-6
36,Kr,Krypton,18,4,p-block,83.798,1.91,2.02,8,84,83.911507,0.003749,115.79,119.93,3,gas,7439-90-9
37,Rb,Rubidium,1,5,s-block,85.468,1.47,1.7,1,85,84.91178974,1.532,312.46,961,0.82,solid,7440-17-7
38,Sr,Strontium,2,5,s-block,87.62,1.12,1.7,2,88,87.9056121,2.64,1050,1655,0.95,solid,7440-24-6
39,Y,Yttrium,3,5,d-block,88.906,1.78,1.7,3,89,88.9058483,4.472,1799,3609,1.22,solid,7440-65-5
40,Zr,Zirconium,4,5,d-block,91.224,1.56,1.7,4,90,89.9047044,6.52,2128,4682,1.33,solid,7440-67-7
41,Nb,Niobium,5,5,d-block,92.906,1.48,1.7,5,93,92.9063781,8.57,2750,5017,1.6,solid,7440-03-01
42,Mo,Molybdenum,6,5,d-block,95.95,1.47,1.7,6,98,97.9054082,10.28,2896,4912,2.16,solid,7439-98-7
