quecto,q,upright("к")
ronto,r,upright("р")
yocto,y,upright("и")
zepto,z,upright("з")
atto,a,upright("а")
femto,f,upright("ф")
pico,p,upright("п")
nano,n,upright("н")
micro,u,upright("мк")
milli,m,upright("м")
centi,c,upright("с")
deci,d,upright("д")
deca,da,upright("да")
hecto,h,upright("г")
kilo,k,upright("к")
mega,M,upright("М")
giga,G,upright("Г")
tera,T,upright("Т")
peta,P,upright("П")
exa,E,upright("Э")
zeta,Z,upright("З")
yotta,Y,upright("И")
ronna,R,upright("Р")
quetta,Q,upright("К")
kibi,Ki,upright("Ки")
mebi,Mi,upright("Ми")
gibi,Gi,upright("Ги")
tebi,Ti,upright("Ти")
pebi,Pi,upright("Пи")
exbi,Ei,upright("Эи")
zebi,Zi,upright("Зи")
yobi,Yi,upright("Йи")
