Holiday Name,Date
New Year's Day,01/01/2022
New Year's Day (Mondayised),03/01/2022
Day after New Year's Day,02/01/2022
Day after New Year's Day (Tuesdayised),04/01/2022
Waitangi Day,06/02/2022
Waitangi Day (Mondayised),07/02/2022
Good Friday,15/04/2022
Easter Monday,18/04/2022
Anzac Day,25/04/2022
Queen's Birthday,06/06/2022
Matariki,24/06/2022
Labour Day,24/10/2022
Christmas Day,25/12/2022
Christmas Day (Tuesdayised),27/12/2022
Boxing Day,26/12/2022
Wellington Anniversary,24/01/2022
Auckland Anniversary,31/01/2022
Nelson Anniversary,31/01/2022
Taranaki Anniversary,14/03/2022
Otago Anniversary,21/03/2022
Southland Anniversary,19/04/2022
South Canterbury Anniversary,26/09/2022
Hawke's Bay Anniversary,21/10/2022
Marlborough Anniversary,31/10/2022
Canterbury Anniversary,11/11/2022
Westland Anniversary,28/11/2022
Chatham Islands Anniversary,28/11/2022
New Year's Day,01/01/2023
New Year's Day (Tuesdayised),03/01/2023
Day after New Year's Day,02/01/2023
Waitangi Day,06/02/2023
Good Friday,07/04/2023
Easter Monday,10/04/2023
Anzac Day,25/04/2023
Queen's Birthday,05/06/2023
Matariki,14/07/2023
Labour Day,23/10/2023
Christmas Day,25/12/2023
Boxing Day,26/12/2023
Wellington Anniversary,23/01/2023
Auckland Anniversary,30/01/2023
Nelson Anniversary,30/01/2023
Taranaki Anniversary,13/03/2023
Otago Anniversary,20/03/2023
Southland Anniversary,11/04/2023
South Canterbury Anniversary,25/09/2023
Hawke's Bay Anniversary,20/10/2023
Marlborough Anniversary,30/10/2023
Canterbury Anniversary,17/11/2023
Chatham Islands Anniversary,27/11/2023
Westland Anniversary,04/12/2023
New Year's Day,01/01/2024
Day after New Year's Day,02/01/2024
Waitangi Day,06/02/2024
Good Friday,29/03/2024
Easter Monday,01/04/2024
Anzac Day,25/04/2024
Queen's Birthday,03/06/2024
Matariki,28/06/2024
Labour Day,28/10/2024
Christmas Day,25/12/2024
Boxing Day,26/12/2024
Wellington Anniversary,22/01/2024
Auckland Anniversary,29/01/2024
Nelson Anniversary,29/01/2024
Taranaki Anniversary,11/03/2024
Otago Anniversary,25/03/2024
Southland Anniversary,02/04/2024
South Canterbury Anniversary,23/09/2024
Hawke's Bay Anniversary,25/10/2024
Marlborough Anniversary,04/11/2024
Canterbury Anniversary,15/11/2024
Westland Anniversary,02/12/2024
Chatham Islands Anniversary,02/12/2024
New Year's Day,01/01/2025
Day after New Year's Day,02/01/2025
Waitangi Day,06/02/2025
Good Friday,18/04/2025
Easter Monday,21/04/2025
Anzac Day,25/04/2025
Queen's Birthday,02/06/2025
Matariki,20/06/2025
Labour Day,27/10/2025
